Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,5802.330078,5845.310059,5800.549805,5845.310059,1683280000,5845.310059
2017-02-23,5866.819824,5866.959961,5809.549805,5835.509766,1879670000,5835.509766
2017-02-22,5857.560059,5864.419922,5848.279785,5860.629883,1872330000,5860.629883
2017-02-21,5850.200195,5867.890137,5847.50,5865.950195,1935110000,5865.950195
2017-02-17,5807.310059,5838.580078,5800.799805,5838.580078,1875580000,5838.580078
2017-02-16,5823.009766,5835.149902,5796.709961,5814.899902,1943600000,5814.899902
2017-02-15,5777.899902,5821.950195,5776.700195,5819.439941,2083660000,5819.439941
2017-02-14,5756.509766,5783.089844,5748.740234,5782.569824,1945160000,5782.569824
2017-02-13,5753.189941,5770.990234,5751.919922,5763.959961,1840010000,5763.959961
2017-02-10,5726.169922,5743.430176,5717.419922,5734.129883,1852010000,5734.129883
2017-02-09,5688.02002,5722.709961,5685.149902,5715.180176,1943840000,5715.180176
2017-02-08,5662.950195,5686.959961,5649.390137,5682.450195,1945060000,5682.450195
2017-02-07,5674.859863,5689.600098,5664.819824,5674.220215,1919100000,5674.220215
2017-02-06,5656.950195,5668.200195,5650.259766,5663.549805,1732280000,5663.549805
2017-02-03,5650.72998,5666.839844,5647.580078,5666.77002,1786860000,5666.77002
2017-02-02,5627.149902,5656.009766,5616.399902,5636.200195,2073980000,5636.200195
2017-02-01,5654.509766,5662.109863,5621.029785,5642.649902,2223560000,5642.649902
2017-01-31,5592.870117,5615.149902,5576.089844,5614.790039,2041480000,5614.790039
2017-01-30,5635.859863,5636.089844,5578.759766,5613.709961,1777090000,5613.709961
2017-01-27,5664.879883,5667.450195,5643.899902,5660.779785,1663400000,5660.779785
2017-01-26,5666.279785,5669.609863,5647.649902,5655.180176,1827490000,5655.180176
2017-01-25,5635.859863,5658.589844,5634.330078,5656.339844,1959950000,5656.339844
2017-01-24,5568.27002,5606.529785,5558.490234,5600.959961,1805370000,5600.959961
2017-01-23,5546.640137,5564.140137,5522.689941,5552.939941,1650290000,5552.939941
2017-01-20,5556.870117,5574.350098,5542.22998,5555.330078,1740320000,5555.330078
2017-01-19,5560.609863,5571.529785,5528.370117,5540.080078,1805710000,5540.080078
2017-01-18,5546.939941,5555.97998,5534.77002,5555.649902,1683320000,5555.649902
2017-01-17,5555.160156,5557.049805,5527.220215,5538.72998,1757030000,5538.72998
2017-01-13,5557.569824,5584.259766,5557.200195,5574.120117,1605110000,5574.120117
2017-01-12,5542.560059,5550.669922,5496.819824,5547.490234,1801750000,5547.490234
2017-01-11,5550.720215,5564.080078,5524.029785,5563.649902,1954720000,5563.649902
2017-01-10,5536.540039,5564.25,5528.109863,5551.819824,1796500000,5551.819824
2017-01-09,5527.580078,5541.080078,5517.140137,5531.819824,1885500000,5531.819824
2017-01-06,5499.080078,5536.52002,5482.810059,5521.060059,1710770000,5521.060059
2017-01-05,5474.390137,5495.850098,5464.359863,5487.939941,1792610000,5487.939941
2017-01-04,5440.910156,5482.350098,5440.240234,5477.00,1883360000,5477.00
2017-01-03,5425.620117,5452.569824,5397.990234,5429.080078,1886200000,5429.080078
2016-12-30,5440.169922,5441.899902,5371.890137,5383.120117,1550820000,5383.120117
2016-12-29,5437.509766,5450.629883,5415.180176,5432.089844,1264480000,5432.089844
2016-12-28,5497.439941,5498.910156,5434.700195,5438.560059,1322130000,5438.560059
2016-12-27,5470.759766,5512.370117,5469.609863,5487.439941,1216870000,5487.439941
2016-12-23,5441.759766,5462.689941,5441.759766,5462.689941,1144280000,5462.689941
2016-12-22,5472.009766,5472.009766,5432.77002,5447.419922,1582600000,5447.419922
2016-12-21,5482.629883,5486.259766,5465.310059,5471.430176,1493900000,5471.430176
2016-12-20,5473.529785,5489.470215,5471.709961,5483.939941,1678040000,5483.939941
2016-12-19,5441.200195,5483.419922,5436.540039,5457.439941,1685800000,5457.439941
2016-12-16,5467.819824,5474.580078,5426.009766,5437.160156,3257750000,5437.160156
2016-12-15,5443.509766,5485.120117,5439.390137,5456.850098,2095910000,5456.850098
2016-12-14,5465.689941,5476.25,5425.72998,5436.669922,1974150000,5436.669922
2016-12-13,5433.569824,5486.75,5430.720215,5463.830078,2085710000,5463.830078
2016-12-12,5428.220215,5434.899902,5394.419922,5412.540039,1927560000,5412.540039
2016-12-09,5436.109863,5450.160156,5427.120117,5444.50,2038700000,5444.50
2016-12-08,5394.149902,5425.52002,5389.100098,5417.359863,2231070000,5417.359863
2016-12-07,5322.669922,5397.930176,5307.310059,5393.759766,2122590000,5393.759766
2016-12-06,5317.740234,5333.990234,5299.939941,5333.00,1974850000,5333.00
2016-12-05,5283.580078,5321.089844,5269.569824,5308.890137,1798160000,5308.890137
2016-12-02,5249.02002,5274.540039,5239.27002,5255.649902,1848930000,5255.649902
2016-12-01,5323.879883,5326.339844,5238.209961,5251.109863,2264960000,5251.109863
2016-11-30,5391.350098,5393.149902,5323.680176,5323.680176,2064430000,5323.680176
2016-11-29,5370.97998,5403.859863,5360.560059,5379.919922,1788790000,5379.919922
2016-11-28,5387.919922,5396.27002,5364.910156,5368.810059,1625620000,5368.810059
2016-11-25,5388.490234,5398.919922,5379.279785,5398.919922,768070000,5398.919922
2016-11-23,5366.549805,5380.680176,5350.680176,5380.680176,1616740000,5380.680176
2016-11-22,5384.75,5392.259766,5365.600098,5386.350098,1886800000,5386.350098
2016-11-21,5336.779785,5369.830078,5334.160156,5368.859863,1745320000,5368.859863
2016-11-18,5340.970215,5346.799805,5315.529785,5321.509766,1858610000,5321.509766
2016-11-17,5295.069824,5334.049805,5288.160156,5333.970215,2081760000,5333.970215
2016-11-16,5253.740234,5299.629883,5251.879883,5294.580078,2057140000,5294.580078
2016-11-15,5241.350098,5287.060059,5236.25,5275.620117,2156500000,5275.620117
2016-11-14,5246.330078,5247.169922,5192.049805,5218.399902,2369190000,5218.399902
2016-11-11,5191.819824,5241.080078,5179.640137,5237.109863,2285050000,5237.109863
2016-11-10,5283.47998,5302.680176,5145.319824,5208.799805,2984360000,5208.799805
2016-11-09,5143.859863,5258.990234,5143.859863,5251.069824,2824560000,5251.069824
2016-11-08,5154.990234,5214.169922,5145.299805,5193.490234,1736100000,5193.490234
2016-11-07,5128.990234,5169.410156,5122.77002,5166.169922,1914310000,5166.169922
2016-11-04,5034.410156,5087.509766,5034.410156,5046.370117,2015130000,5046.370117
2016-11-03,5104.700195,5115.060059,5053.52002,5058.410156,2107720000,5058.410156
2016-11-02,5147.279785,5156.700195,5097.560059,5105.569824,2105870000,5105.569824
2016-11-01,5199.77002,5201.129883,5112.319824,5153.580078,1878650000,5153.580078
2016-10-31,5205.089844,5206.709961,5186.560059,5189.140137,1707260000,5189.140137
2016-10-28,5203.700195,5232.350098,5178.759766,5190.100098,1895970000,5190.100098
2016-10-27,5272.189941,5274.120117,5211.75,5215.970215,1918690000,5215.970215
2016-10-26,5256.399902,5280.850098,5237.049805,5250.27002,1725900000,5250.27002
2016-10-25,5306.470215,5310.27002,5278.569824,5283.399902,1579490000,5283.399902
2016-10-24,5290.310059,5311.50,5289.22998,5309.830078,1531970000,5309.830078
2016-10-21,5238.649902,5259.129883,5225.759766,5257.399902,1649470000,5257.399902
2016-10-20,5238.200195,5252.100098,5216.049805,5241.830078,1741820000,5241.830078
2016-10-19,5240.330078,5253.830078,5234.25,5246.410156,1546960000,5246.410156
2016-10-18,5255.319824,5264.27002,5239.439941,5243.839844,1474430000,5243.839844
2016-10-17,5213.689941,5219.97998,5196.029785,5199.819824,1424270000,5199.819824
2016-10-14,5241.259766,5258.879883,5213.370117,5214.160156,1594480000,5214.160156
2016-10-13,5200.299805,5228.259766,5169.759766,5213.330078,1735310000,5213.330078
2016-10-12,5247.910156,5257.180176,5228.77002,5239.02002,1565940000,5239.02002
2016-10-11,5321.819824,5321.819824,5227.430176,5246.790039,1821680000,5246.790039
2016-10-10,5318.459961,5340.52002,5317.72998,5328.669922,1364150000,5328.669922
2016-10-07,5314.919922,5315.649902,5266.799805,5292.399902,1646650000,5292.399902
2016-10-06,5306.589844,5315.72998,5281.470215,5306.850098,1654020000,5306.850098
2016-10-05,5305.279785,5330.810059,5304.060059,5316.02002,1753340000,5316.02002
2016-10-04,5313.490234,5323.600098,5271.700195,5289.660156,1708990000,5289.660156
2016-10-03,5300.290039,5308.600098,5281.950195,5300.870117,1604060000,5300.870117
2016-09-30,5288.870117,5325.879883,5277.879883,5312.00,2059800000,5312.00
2016-09-29,5311.310059,5317.00,5254.52002,5269.149902,1941170000,5269.149902
2016-09-28,5312.72998,5320.620117,5284.839844,5318.549805,1785470000,5318.549805
2016-09-27,5254.180176,5306.810059,5251.319824,5305.709961,1751060000,5305.709961
2016-09-26,5275.72998,5282.27002,5254.959961,5257.490234,1669520000,5257.490234
2016-09-23,5327.430176,5329.709961,5301.629883,5305.75,1761330000,5305.75
2016-09-22,5323.259766,5342.879883,5320.930176,5339.52002,1852100000,5339.52002
2016-09-21,5263.649902,5299.399902,5233.939941,5295.180176,1999690000,5295.180176
2016-09-20,5256.189941,5265.180176,5235.419922,5241.350098,1695190000,5241.350098
2016-09-19,5263.549805,5281.069824,5222.910156,5235.029785,1791120000,5235.029785
2016-09-16,5238.709961,5248.600098,5218.970215,5244.569824,3013860000,5244.569824
2016-09-15,5178.100098,5254.779785,5176.25,5249.689941,1950940000,5249.689941
2016-09-14,5160.209961,5201.339844,5159.549805,5173.77002,1902680000,5173.77002
2016-09-13,5181.140137,5195.029785,5131.27002,5155.25,2071460000,5155.25
2016-09-12,5098.029785,5217.879883,5097.799805,5211.890137,2007610000,5211.890137
2016-09-09,5217.950195,5225.930176,5125.910156,5125.910156,2208690000,5125.910156
2016-09-08,5269.959961,5271.009766,5248.410156,5259.47998,1839790000,5259.47998
2016-09-07,5274.22998,5287.609863,5261.919922,5283.930176,1878460000,5283.930176
2016-09-06,5260.00,5275.910156,5244.00,5275.910156,1777940000,5275.910156
2016-09-02,5249.660156,5263.390137,5231.02002,5249.899902,1474200000,5249.899902
2016-09-01,5218.279785,5229.939941,5189.359863,5227.209961,1592520000,5227.209961
2016-08-31,5216.419922,5219.890137,5191.180176,5213.220215,1761770000,5213.220215
2016-08-30,5229.879883,5241.620117,5205.609863,5222.990234,1561020000,5222.990234
2016-08-29,5223.799805,5245.120117,5222.339844,5232.330078,1416640000,5232.330078
2016-08-26,5219.049805,5253.390137,5191.859863,5218.919922,1591060000,5218.919922
2016-08-25,5207.609863,5230.589844,5201.640137,5212.200195,1511890000,5212.200195
2016-08-24,5254.419922,5262.990234,5205.640137,5217.689941,1714780000,5217.689941
2016-08-23,5265.779785,5275.740234,5257.899902,5260.080078,1547050000,5260.080078
2016-08-22,5231.459961,5252.129883,5224.629883,5244.600098,1560210000,5244.600098
2016-08-19,5229.870117,5245.810059,5217.649902,5238.379883,1632740000,5238.379883
2016-08-18,5226.450195,5243.169922,5221.839844,5240.149902,1659080000,5240.149902
2016-08-17,5228.439941,5230.089844,5197.22998,5228.660156,1747890000,5228.660156
2016-08-16,5247.959961,5248.259766,5226.779785,5227.109863,1698390000,5227.109863
2016-08-15,5242.180176,5271.359863,5241.140137,5262.02002,1533170000,5262.02002
2016-08-12,5219.660156,5233.339844,5215.549805,5232.890137,1501620000,5232.890137
2016-08-11,5222.149902,5235.290039,5211.25,5228.399902,1511670000,5228.399902
2016-08-10,5227.950195,5227.959961,5193.799805,5204.580078,1651240000,5204.580078
2016-08-09,5216.209961,5238.540039,5214.950195,5225.47998,1664320000,5225.47998
2016-08-08,5223.540039,5228.399902,5202.180176,5213.140137,1624450000,5213.140137
2016-08-05,5190.709961,5227.22998,5186.25,5221.120117,2017720000,5221.120117
2016-08-04,5158.02002,5174.00,5145.390137,5166.25,1930000000,5166.25
2016-08-03,5133.240234,5159.740234,5128.439941,5159.740234,1909470000,5159.740234
2016-08-02,5177.529785,5181.02002,5109.799805,5137.72998,2142010000,5137.72998
2016-08-01,5167.419922,5199.129883,5158.930176,5184.200195,1866590000,5184.200195
2016-07-29,5162.149902,5175.810059,5140.049805,5162.129883,2072640000,5162.129883
2016-07-28,5144.819824,5160.160156,5130.75,5154.97998,1950910000,5154.97998
2016-07-27,5143.839844,5151.060059,5120.660156,5139.810059,2122250000,5139.810059
2016-07-26,5095.609863,5122.299805,5084.180176,5110.049805,2038060000,5110.049805
2016-07-25,5096.990234,5100.720215,5082.660156,5097.629883,1770620000,5097.629883
2016-07-22,5078.120117,5103.52002,5064.109863,5100.160156,1639000000,5100.160156
2016-07-21,5093.970215,5102.779785,5061.109863,5073.899902,1880310000,5073.899902
2016-07-20,5061.600098,5098.25,5053.919922,5089.930176,1877330000,5089.930176
2016-07-19,5038.220215,5052.240234,5028.240234,5036.370117,1694740000,5036.370117
2016-07-18,5034.990234,5063.529785,5030.129883,5055.779785,1585570000,5055.779785
2016-07-15,5041.189941,5044.810059,5018.52002,5029.589844,1610300000,5029.589844
2016-07-14,5041.950195,5045.180176,5025.149902,5034.060059,1641170000,5034.060059
2016-07-13,5036.319824,5036.379883,5002.819824,5005.72998,1650820000,5005.72998
2016-07-12,5017.990234,5032.100098,5009.680176,5022.819824,1866280000,5022.819824
2016-07-11,4976.540039,5002.50,4976.540039,4988.640137,1718450000,4988.640137
2016-07-08,4906.660156,4959.00,4901.27002,4956.759766,1947260000,4956.759766
