,Unnamed: 0,date,company,position,return_1w,return_2w,return_1m,return_2m,lower_range,higher_range,stop_loss,price,stop_loss_after_2w,price_after_2w,stop_out_cover_short ,return_after_2w,same_day,one_week,two_week,one_month,two_month
35,35,3.3,CMG,short,0.023383019,0.04610102,0.104966199,0.017397801,460,474,481,466.15,468,456.71,,2.03%,466.149994,455.25,444.660004,417.220001,458.040009
36,36,3.3,DV,short,0.018583004,-0.012195204,-0.007204692,-0.014131006,16,20,20,17.2,20,17.16,,0.23%,17.048751,16.731934,17.256664,17.171582,17.289667
37,37,3.3,JCOM,short,-0.012133102,-0.011641238,-0.034267913,-0.075607198,59,64,68,60.9,68,61.79,,-1.46%,60.065432,60.794212,60.764668,62.123749,64.606811
38,38,3.3,RL,short,0.004539773,0.034564581,0.020945104,0.030850164,93,100,105,96.91,99,92.82,,4.22%,95.344192,94.911351,92.04866,93.347198,92.402808
39,39,3.3,DATA,short,-0.011904784,-0.055555554,-0.0941358,-0.087962895,41,48,55,45.38,55,48.29,,-6.41%,45.360001,45.900002,47.880001,49.630001,49.349998
40,40,3.3,VRX,short,-0.262282896,-0.222755744,-0.289988844,-0.0018471,25,33,37,27.07,37,32.53,,-20.17%,27.07,34.169998,33.099998,34.919998,27.120001
41,41,3.3,CONN,short,0.076489533,-0.046698873,-0.204508857,0.061996779,11,14,16,12.42,16,12.69,,-2.17%,12.42,11.47,13,14.96,11.65
42,42,4.28,AAPL,long,-0.010779698,-0.04154697,0.065289743,0.01956318,92,98,88,94.62,,92.59,88,-2.15%,92.8667,91.865625,89.00837,98.929943,94.683468
43,43,4.28,COH,long,-0.038582879,-0.077651074,-0.045619931,-0.010442665,38,42,36,42.13,37,38.23,,-9.26%,40.136689,38.5881,37.020032,38.305656,39.717555
44,44,4.28,IR,long,-0.007347361,0.009031025,0.014541507,0.019650406,62,68,57,65.21,62,65.93,,1.10%,64.360247,63.887369,64.941486,65.296142,65.624952
45,45,4.28,SYK,long,0.005111401,0.020627988,0.018437429,0.080503834,105,111,98,109.21,104,111.6,,2.19%,108.46225,109.016644,110.699608,110.462015,117.193877
46,46,4.28,TMO,long,-0.001238699,0.024772853,0.040462355,0.047966381,143,148,138,145.03,141,148.05,,2.08%,144.877825,144.698365,148.466862,150.739923,151.82709
47,47,4.28,WYNN,long,0.004483314,0.047074615,0.066231216,0.146012553,86,94,79,89.2,85,92.9,,4.15%,87.332717,87.724257,91.443871,93.116869,100.08439
48,48,4.28,SKX,long,-0.055688649,-0.058682661,-0.096107809,-0.122754573,29,35,27,33.36,27,30.71,,-7.94%,33.400002,31.540001,31.440001,30.190001,29.299999
49,49,4.28,BWLD,short,-0.003192445,-0.022271261,-0.072894468,-0.094709685,126,134,140,131.38,140,133.5,,-1.61%,131.559998,131.979996,134.490005,141.149994,144.020004
50,50,4.28,CRS,short,0.082633094,0.13613448,0.099439757,0.039495824,34,37,41,35.74,36,31.11,,12.95%,35.220078,32.309734,30.425411,31.717802,33.829032
51,51,4.28,CMG,short,-0.027397275,-0.079381239,-0.067619285,0.034270145,420,433,461,422.84,469,454.16,,-7.41%,423.399994,435,457.01001,452.029999,408.890015
52,52,4.28,IBM,short,0.004079732,-0.021801684,-0.046516094,-0.066493564,144,151,158,146.75,158,148.94,,-1.49%,141.995864,141.416559,145.091613,148.600957,151.437675
53,53,4.28,ILMN,short,-0.023204376,-0.008766129,-0.054290939,-0.079852641,138,144,148,135.4,155,138.7,,-2.44%,135.75,138.899994,136.940002,143.119995,146.589996
54,54,4.28,INTC,short,0.030592332,0.035131359,-0.020958091,-0.069590641,29,33,36,31.05,35,30.06,,3.19%,30.166154,29.243301,29.106376,30.798379,32.265436
55,55,4.28,HRB,short,0.046644426,0.070918602,0.014278988,-0.097776214,19,23,25,21.01,24,19.48,,7.28%,20.401516,19.449899,18.954669,20.110203,22.396299
56,56,5.25,AMAT,long,0.024091266,0.024091266,0.013102236,0.126373629,20,23,18.6,23.67,20,23.67,,0.00%,23.503622,24.069854,24.069854,23.811572,26.47386
57,57,5.25,ETN,long,0.000649251,0.034519496,0.00243463,0.030676823,56,62,54,61.69,54,60.59,,-1.78%,60.489673,60.528946,62.577746,60.636943,62.345304
58,58,5.25,CHD,long,0.012194017,0.0114779,0.025493476,0.019150676,93,99,85,97.44,89,98.87,,1.47%,48.504606,49.096072,49.061337,49.741157,49.433502
59,59,5.25,JACK,long,0.081720416,0.097659626,0.088425029,0.127514153,73,78,70,79.12,70,82.87,,4.74%,78.507591,84.923264,86.174613,85.449627,88.51842
60,60,5.25,TSLA,long,-9.11E-05,0.072593141,-0.104381081,0.039985422,215,225,206,219.68,206,217.11,,-1.17%,219.580002,219.559998,235.520004,196.660004,228.360001
61,61,5.25,VEEV,long,0.124790904,0.175644034,0.132820413,0.220140589,26,29,23,29.84,29,34.34,,15.08%,29.889999,33.619999,35.139999,33.860001,36.470001
62,62,5.25,VMC,long,-0.025401874,-0.014241681,-0.035645861,0.045140324,115,120,109,120.1,109,113.63,,-5.39%,119.677231,116.637205,117.972826,115.411233,125.0795
63,63,5.25,DKS,short,0.006237028,0.005275164,0.061374728,-0.161400926,41,46,49,43.31,47,40.82,,5.75%,42.921885,42.65418,42.695465,40.287566,49.849517
64,64,5.25,MNK,short,-0.075565104,-0.040587345,0.064840801,-0.102458322,58,64,69,60.63,67,60.02,,1.01%,60.610001,65.190002,63.07,56.68,66.82
65,65,5.25,FOSL,short,0.005690291,-0.044807893,-0.08748218,-0.049430973,25,29,35,28.13,31,28.71,,-2.06%,28.120001,27.95999,29.379999,30.58,29.51
66,66,5.25,JWN,short,-0.008458861,-0.072164903,0.001057411,-0.089082678,36,41,48,38.22,44,37,,3.19%,37.322284,37.637988,40.015643,37.282819,40.647053
67,67,5.25,TGT,short,0.012557667,0.009526507,0.006062335,-0.075057794,65,71,75,69.36,75,67.23,,3.07%,67.531574,66.683535,66.888234,67.122175,72.600345
68,68,5.25,DSW,short,-0.031280599,-0.021505405,-0.037623794,-0.171892866,18,22,24,20.48,23,20.23,,1.22%,19.923084,20.54629,20.351538,20.672666,23.34772
69,69,5.25,TIF,short,0.024416934,-0.001721709,0.030968932,0.016305747,59,65,68,63.84,68,61.62,,3.48%,62.681334,61.150848,62.789253,60.74016,61.659268
70,70,6.29,ELLI,long,0.056908836,0.071051771,0.098439841,0.081939649,82,88,77,88.82,83,95.15,,7.13%,89.089996,94.160004,95.419998,97.860001,96.389999
71,71,6.29,GS,long,0.000549841,0.085360816,0.106460521,0.136082494,138,144,134,145.42,147,157.61,,8.38%,144.485381,144.564825,156.818771,159.86737,164.147312
72,72,6.29,FB,long,0.022249412,0.022950201,0.080413382,0.081639792,109,114,96,114.11,112,117.01,,2.54%,114.160004,116.699997,116.779999,123.339996,123.480003
73,73,6.29,NOW,long,0.073779272,0.117097823,0.195173666,0.224080324,62,69,56,66.36,63,70.48,,6.21%,65.330002,70.150002,72.980003,78.080698,79.96917
74,74,6.29,V,long,-0.034923122,0.009382349,-0.594631458,-0.558852081,74,77,68,76.61,71,77.45,,1.10%,76.300938,73.636271,77.01682,30.93,33.66
75,75,6.29,LITE,long,-0.029975062,0.029975021,0.350957577,0.892173231,22,25,18,24.01,21,24.63,,2.58%,24.02,23.299999,24.74,32.450001,45.450001
76,76,6.29,WB,long,0.038643821,0.163689391,0.183011301,0.656944987,25,28,21,27.45,26,32.05,,16.76%,27.43,28.49,31.92,32.45,45.450001
77,77,6.29,BBBY,short,-0.015151455,-0.049883438,-0.024242348,-0.068997647,41,44,48,42.88,,45.1,49,-5.18%,42.66402,43.310442,44.792248,43.698296,45.607737
78,78,6.29,ISRG,short,-0.019339585,-0.022988592,-0.038557512,-0.042373741,638,659,663,657.26,,673.45,663,-2.46%,657.719971,670.440002,672.840027,683.080017,685.590027
79,79,6.29,CMG,short,0.020611009,-0.01743636,-0.040464989,0.014017412,391,410,431,409.3,431,417.28,,-1.95%,409.48999,401.049988,416.630005,426.059998,403.75
80,80,6.29,RL,short,-0.016116312,-0.11044737,-0.118561884,-0.215710565,85,91,93,88.66,,98.34,93,-10.92%,87.786771,89.20157,97.482589,98.194936,106.723305
81,81,6.29,RH,short,-0.060962605,-0.025668486,-0.053832444,-0.214973377,24,28,29,28.05,33,28.83,,-2.78%,28.049999,29.76,28.77,29.559999,34.080002
82,82,6.29,ATHM,short,-0.048709204,-0.046760787,-0.124208421,-0.151972667,20,23,25,20.54,25,21.6,,-5.16%,20.530001,21.530001,21.49,23.08,23.65
83,83,6.29,VRX,short,-0.137641786,-0.066600937,-0.158855451,-0.506660138,18,23,26,20.28,26,21.92,,-8.09%,20.27,23.059999,21.620001,23.49,30.540001
84,84,7.27,DHR,long,0.00160798,0.004576409,-0.002968429,-0.042053199,77,82,74,80.85,76,80.84,,-0.01%,80.591799,80.721389,80.96062,80.352568,77.202656
85,85,7.27,FB,long,-0.006729318,0.01248582,0.001135131,0.053510671,115,122,111,123.4,113,123.99,,0.48%,123.339996,122.510002,124.879997,123.480003,129.940002
86,86,7.27,EW,long,-0.009437268,-0.00358269,-0.00122334,0.041331667,110,117,99,114.12,102,112.39,,-1.52%,114.440002,113.360001,114.029999,114.300003,119.169998
87,87,7.27,F,long,-0.123554874,-0.114884394,-0.111271638,-0.126445033,12,15,12,13.84,12,12.38,,-10.55%,13.452889,11.790719,11.907362,11.955964,11.751838
88,88,7.27,SWK,long,-0.004658385,0.010608247,-0.006211197,0.010801975,117,123,113,122.36,115,122.22,,-0.11%,121.200794,120.636194,122.486522,120.447992,122.510002
89,89,7.27,TWTR,long,0.116677299,0.207355802,0.157260621,0.172479391,15,18,13,15.74,16.8,20.1,,27.70%,15.77,17.610001,19.040001,18.25,18.49
90,90,7.27,ZTS,long,0.027281863,0.03931801,0.015647003,0.024272887,46,50,44,49.85,46,52.25,,4.81%,49.652767,51.007387,51.605015,50.429684,50.857983
91,91,7.27,AKAM,short,0.021184083,-0.029895111,-0.06869931,-0.033656723,49,53,57,50.51,57,52.12,,-3.19%,50.509998,49.43999,52.02,53.98,52.209999
92,92,7.27,CLB,short,0.021637948,-0.008017248,0.078793096,0.004482729,115,119,125,116,125,117.26,,-1.09%,114.908126,112.42175,115.829373,105.854159,114.393024
