,Unnamed: 0,date,company,position,return_1w,return_2w,return_1m,return_2m,lower_range,higher_range,stop_loss,price,stop_loss_after_2w,price_after_2w,stop_out_cover_short ,return_after_2w,same_day,one_week,two_week,one_month,two_month
147,147,11.3,ACIA,short,-0.047935315,0.055298901,0.048512849,0.07724519,68,74,82,69.71,77,66.39,,4.76%,69.260002,72.580002,65.43,65.900002,63.91
148,148,11.3,ALNY,short,0.081832689,0.01504445,0.08798726,0.137679442,42,48,55,43.88,52,43.05,,1.89%,43.869999,40.279999,43.209999,40.009998,37.830002
149,149,11.3,FSLR,short,-0.107849604,-0.07321903,-0.081794162,-0.085092414,27,33,37,30.33,37,32.93,,-8.57%,30.32,33.59,32.540001,32.799999,32.900002
150,150,11.3,ILMN,short,0.083521121,0.057758766,0.039131734,-0.209779241,129,136,148,133.04,138,125.77,,5.46%,133.139999,122.019997,125.449997,127.93,161.070007
151,151,11.3,JUNO,short,0.054862746,0.108229432,0.050373968,-0.003491372,19,23,26,20.1,22,17.73,,11.79%,20.049999,18.950001,17.879999,19.040001,20.120001
152,152,11.3,MNK,short,0.025427111,-0.000379336,0.057115947,0.106451782,50,55,59,52.18,59,52.45,,-0.52%,52.70001,51.360001,52.720001,49.689999,47.09
153,153,11.3,GPRO,short,0.061122244,0.120240481,0.103206413,-0.002004008,9,12,12.4,10.04,10.8,8.83,,12.05%,9.98,9.37,8.78,8.95,10
154,154,12.28,AMGN,long,0.035213635,0.060608092,0.043543088,,143,157,139,148.18,145,155.8,,5.14%,146.658502,151.822881,155.547194,153.044466,
155,155,12.28,AAPL,long,-0.006337834,0.025608062,0.043850593,,113,119,109,116.67,112,119.17,,2.14%,116.255965,115.519154,119.233055,121.353858,
156,156,12.28,AZPN,long,0.028660702,0.021495462,0.036009535,,51,55,47,54.68,49,55.51,,1.52%,54.43,55.990002,55.599998,56.389999,
157,157,12.28,EW,long,0.041311639,0.064070791,0.036026362,,89,95,84,93.81,91,98.07,,4.54%,92.709999,96.540001,98.650002,96.050003,
158,158,12.28,SWK,long,0.012077566,0.02519769,0.079937486,,112,119,111,115.31,111,117.39,,1.80%,115.089996,116.480003,117.989998,124.290001,
159,159,12.28,THO,long,0.027378257,0.008134104,0.044142487,,98,107,92,100.63,92,101.46,,0.82%,100.809998,103.57,101.629997,105.260002,
160,160,12.28,WGO,long,0.038819879,0.017104741,0.012431916,,28,33,25,31.62,25,32.55,,2.94%,32.100924,33.347078,32.650002,32.5,
161,161,12.28,BABA,short,-0.035939097,-0.10953415,-0.191026604,,84,89,93,87.9,,96.74,93,-10.06%,87.370003,90.510002,96.940002,104.059998,
162,162,12.28,BBBY,short,-0.038442507,-0.000492755,0.001232208,,38,43,45,40.62,45,40.53,,0.22%,40.580002,42.139999,40.599998,40.529999,
163,163,12.28,PANW,short,-0.024245811,-0.100264055,-0.169240568,,121,128,133,124.85,,136.8,138,-9.57%,124.970001,128,137.5,146.119995,
164,164,12.28,RL,short,-0.007112691,0.037119403,-0.013002878,,87,95,98,90.48,95,86.45,,4.45%,89.980003,90.620003,86.639999,91.150002,
165,165,12.28,RH,short,-0.029239733,0.063027971,0.082521147,,29,33,36,30.66,33,28.57,,6.82%,30.780001,31.68,28.84,28.24,
166,166,12.28,SOHU,short,-0.069226205,-0.121291387,-0.200407179,,32,36,37,34.15,,38.45,41,-12.59%,34.380001,36.759998,38.549999,41.27,
167,167,12.28,GNC,short,-0.029676259,-0.003597122,0.177158273,,10,13,14.5,11.07,13.8,11.16,,-0.81%,11.12,11.45,11.16,9.15,
